Source,Target
Mickey Rourke,Sin City: A Dame to Kill For
Mickey Rourke,Ashby
Mickey Rourke,Harley Davidson and the Marlboro Man
Mickey Rourke,Johnny Handsome
Mickey Rourke,Killshot
Mickey Rourke,9½ Weeks
Mickey Rourke,Domino
Mickey Rourke,Stormbreaker
Mickey Rourke,The Informers
Sophie Marceau,The World Is Not Enough
Sophie Marceau,Alex & Emma
Julianna Margulies,City Island
A Dangerous Method,Michael Fassbender
A Dangerous Method,Keira Knightley
A Dangerous Method,Viggo Mortensen
Balto,Kevin Bacon
Balto,Bob Hoskins
Balto,Bridget Fonda
Balto,Jim Cummings
Lucy Walters,Shame
Harrison Ford,Working Girl
Harrison Ford,Air Force One
Harrison Ford,Extraordinary Measures
Harrison Ford,The Devil's Own
Harrison Ford,Paranoia
Judy Davis,Barton Fink
Kriti Kharbanda,Shaadi Mein Zaroor Aana
Police Academy 3: Back in Training,Steve Guttenberg
Police Academy 3: Back in Training,Bubba Smith
Police Academy 3: Back in Training,David Graf
Police Academy 3: Back in Training,Michael Winslow
Christina Ricci,Buffalo '66
Christina Ricci,Monster
Christina Ricci,Now and Then
Christina Ricci,Penelope
Michael Peña,Fury
Michael Peña,The Lucky Ones
Michael Peña,Lions for Lambs
Arnold Schwarzenegger,True Lies
Arnold Schwarzenegger,Twins
Babylon,Jean Smart
Babylon,Olivia Wilde
Eli Roth,Inglourious Basterds
Adam Baldwin,My Bodyguard
Stellan Skarsgård,Ronin
Stellan Skarsgård,The Railway Man
Stellan Skarsgård,Mamma Mia!
Stellan Skarsgård,The Glass House
George Grizzard,Bachelor Party
Epic,Amanda Seyfried
Epic,Josh Hutcherson
Epic,Beyoncé
Epic,Colin Farrell
The Great Buck Howard,Colin Hanks
The Great Buck Howard,John Malkovich
The Great Buck Howard,Tom Hanks
The Great Buck Howard,Emily Blunt
The Tree of Life,Sean Penn
The Tree of Life,Jessica Chastain
The Tree of Life,Hunter McCracken
Hannah and Her Sisters,Mia Farrow
Hannah and Her Sisters,Dianne Wiest
Hannah and Her Sisters,Michael Caine
Hannah and Her Sisters,Barbara Hershey
Lauren Bacall,The Mirror Has Two Faces
Simon Callow,Four Weddings and a Funeral
The Men Who Stare at Goats,Ewan McGregor
The Men Who Stare at Goats,George Clooney
The Men Who Stare at Goats,Kevin Spacey
The Men Who Stare at Goats,Jeff Bridges
Eddie Marsan,The Professor and the Madman
Eddie Marsan,Filth
Mandy Moore,American Dreamz
Pump Up the Volume,Christian Slater
Pump Up the Volume,Samantha Mathis
Pump Up the Volume,Anthony Luke Lucero
Pump Up the Volume,Andy Romano
Lost in Space,Gary Oldman
Lost in Space,William Hurt
Lost in Space,Matt LeBlanc
Lost in Space,Mimi Rogers
The Fabulous Baker Boys,Jeff Bridges
The Fabulous Baker Boys,Michelle Pfeiffer
The Fabulous Baker Boys,Beau Bridges
The Fabulous Baker Boys,Ellie Raab
Greta Scacchi,The Player
Claire Forlani,Meet Joe Black
Claire Forlani,Antitrust
Halle Berry,Cloud Atlas
Halle Berry,Things We Lost in the Fire
Halle Berry,Boomerang
Halle Berry,The Flintstones
Peter Weller,RoboCop
Peter Weller,The Adventures of Buckaroo Banzai Across the 8th Dimension
Peter Weller,Leviathan
Bokeem Woodbine,Freeway
Connie Britton,Beatriz at Dinner
Hit: The First Case,Rajkummar Rao
Hit: The First Case,Sanya Malhotra
Hit: The First Case,Akhil Iyer
Hit: The First Case,Jatin Goswami
Yun Qu,Fearless
Inventing the Abbotts,Liv Tyler
Inventing the Abbotts,Jennifer Connelly
Inventing the Abbotts,Joaquin Phoenix
Inventing the Abbotts,Billy Crudup
Rod Steiger,The Amityville Horror
Brendan Gleeson,Lake Placid
Brendan Gleeson,Assassin's Creed
Rebecca Griffiths,Fish Tank
Olivier Martinez,Unfaithful
JFK,Kevin Costner
JFK,Gary Oldman
JFK,Jack Lemmon
JFK,Walter Matthau
Laggies,Keira Knightley
Laggies,Chloë Grace Moretz
Laggies,Sam Rockwell
Laggies,Mark Webber
Jonah Hill,Moneyball
Jonah Hill,The Sitter
Carrie Underwood,Soul Surfer
Trini Alvarado,The Babe
Tinker Tailor Soldier Spy,Gary Oldman
Tinker Tailor Soldier Spy,Colin Firth
Tinker Tailor Soldier Spy,Tom Hardy
Tinker Tailor Soldier Spy,Mark Strong
Mission: Impossible,Tom Cruise
Mission: Impossible,Jon Voight
Mission: Impossible,Emmanuelle Béart
Mission: Impossible,Henry Czerny
Mr. & Mrs. Smith,Angelina Jolie
Mr. & Mrs. Smith,Adam Brody
Mr. & Mrs. Smith,Vince Vaughn
Mr. & Mrs. Smith,Carole Lombard
Mr. & Mrs. Smith,Robert Montgomery
Mr. & Mrs. Smith,Gene Raymond
Mr. & Mrs. Smith,Jack Carson
About Schmidt,Jack Nicholson
About Schmidt,Hope Davis
About Schmidt,Dermot Mulroney
About Schmidt,Kathy Bates
Shirley MacLaine,Terms of Endearment
Shirley MacLaine,Steel Magnolias
Shirley MacLaine,Postcards from the Edge
Shirley MacLaine,Rumor Has It...
Annie McEnroe,Beetlejuice
Junebug,Embeth Davidtz
Junebug,Alessandro Nivola
Junebug,David Kuhn
Junebug,Alicia Van Couvering
Eliza Dushku,City by the Sea
Stephen Baldwin,The Beast of War
City by the Sea,Robert De Niro
City by the Sea,James Franco
City by the Sea,Frances McDormand
Only the Brave,Josh Brolin
Only the Brave,Miles Teller
Only the Brave,Jeff Bridges
Only the Brave,Jennifer Connelly
Frank Madigan,Macbeth
Safe House,Denzel Washington
Safe House,Ryan Reynolds
Safe House,Robert Patrick
Safe House,Vera Farmiga
David Caruso,Mad Dog and Glory
Anthony Mackie,We Are Marshall
Anthony Mackie,The Woman in the Window
Vin Diesel,The Iron Giant
James Mason,Lolita
James Mason,Journey to the Center of the Earth
Alexis Manenti,Les Misérables
A Cry in the Dark,Meryl Streep
A Cry in the Dark,Sam Neill
A Cry in the Dark,Dale Reeves
A Cry in the Dark,David Hoflin
Blood and Wine,Jack Nicholson
Blood and Wine,Michael Caine
Blood and Wine,Stephen Dorff
Blood and Wine,Jennifer Lopez
August: Osage County,Meryl Streep
August: Osage County,Dermot Mulroney
August: Osage County,Julia Roberts
August: Osage County,Juliette Lewis
Taking Lives,Angelina Jolie
Taking Lives,Ethan Hawke
Taking Lives,Kiefer Sutherland
Taking Lives,Gena Rowlands
The Words,Bradley Cooper
The Words,Dennis Quaid
The Words,Olivia Wilde
The Words,Zoe Saldana
Judge Reinhold,Fast Times at Ridgemont High
Maria Bakalova,Borat Subsequent Moviefilm
Ryan Boz,Richard Jewell
Brown Sugar,Taye Diggs
Brown Sugar,Yasiin Bey
Brown Sugar,Nicole Ari Parker
Harley Jane Kozak,Arachnophobia
The Hours,Meryl Streep
The Hours,Nicole Kidman
The Hours,Julianne Moore
The Hours,Stephen Dillane
Paranoia,Gary Oldman
Paranoia,Amber Heard
Illeana Douglas,Stir of Echoes
Aaliyah,Queen of the Damned
The Light Between Oceans,Michael Fassbender
The Light Between Oceans,Alicia Vikander
The Light Between Oceans,Rachel Weisz
The Light Between Oceans,Florence Clery
Adriana Barraza,Henry Poole Is Here
David Paymer,Alex & Emma
Flawless,Demi Moore
Flawless,Michael Caine
Flawless,Lambert Wilson
Flawless,Nathaniel Parker
Flawless,Robert De Niro
Flawless,Philip Seymour Hoffman
Flawless,Barry Miller
Flawless,Chris Bauer
Daniel Day-Lewis,Lincoln
William Forsythe,Things to Do in Denver When You're Dead
The Devil Wears Prada,Anne Hathaway
The Devil Wears Prada,Meryl Streep
The Devil Wears Prada,Adrian Grenier
The Devil Wears Prada,Emily Blunt
John D'Leo,The Family
The Nines,Ryan Reynolds
The Nines,Hope Davis
Paddy Considine,In America
Rajkummar Rao,Shahid
Rajkummar Rao,Queen
Rajkummar Rao,Kai Po Che
Rajkummar Rao,Ludo
Rajkummar Rao,Newton
Rajkummar Rao,Stree
Rajkummar Rao,Seeking True Love
Rajkummar Rao,Trapped
Rajkummar Rao,Shaadi Mein Zaroor Aana
Rajkummar Rao,"Monica, O My Darling"
Rajkummar Rao,The White Tiger
Rajkummar Rao,Badhaai Do
Rajkummar Rao,Bheed
Rajkummar Rao,Chhalaang
Shane Brolly,Underworld
Shane Brolly,Impostor
Taye Diggs,Go
Dickie Jones,Pinocchio
Sandra Bullock,Extremely Loud & Incredibly Close
Sandra Bullock,The Proposal
Sandra Bullock,Practical Magic
Sandra Bullock,The Vanishing
Sliver,Sharon Stone
Sliver,William Baldwin
Sliver,Tom Berenger
Sliver,Polly Walker
Arlington Road,Jeff Bridges
Arlington Road,Tim Robbins
Arlington Road,Joan Cusack
Arlington Road,Hope Davis
Matt Damon,Saving Private Ryan
Matt Damon,The Departed
Matt Damon,Ocean's Eleven
Matt Damon,True Grit
Matt Damon,Air
Matt Damon,Ocean's Thirteen
Matt Damon,School Ties
Matt Damon,The Good Shepherd
Matt Damon,The Legend of Bagger Vance
Christian Camargo,Europa Report
Defending Your Life,Albert Brooks
Defending Your Life,Meryl Streep
Defending Your Life,Rip Torn
Defending Your Life,Lee Grant
Elizabethtown,Orlando Bloom
Elizabethtown,Kirsten Dunst
Elizabethtown,Susan Sarandon
Elizabethtown,Alec Baldwin
Michael Biehn,The Seventh Sign
Michael Biehn,Cherry Falls
Leonard Termo,Year of the Dragon
Vedant Sinha,The White Tiger
Virus,Jamie Lee Curtis
Virus,Donald Sutherland
Virus,William Baldwin
Virus,Joanna Pacula
Lena Olin,The Ninth Gate
Liv Tyler,Reign Over Me
Liv Tyler,Robot & Frank
Liv Tyler,Cookie's Fortune
Liv Tyler,Armageddon
Liv Tyler,Super
Liv Tyler,The Incredible Hulk
Liv Tyler,Stealing Beauty
Liv Tyler,The Ledge
Liv Tyler,Jersey Girl
Liv Tyler,The Strangers
Liv Tyler,Wildling
The Outsiders,C. Thomas Howell
The Outsiders,Matt Dillon
The Outsiders,Ralph Macchio
The Outsiders,Patrick Swayze
John Magaro,War Machine
Mary Gibbs,"Monsters, Inc."
Thomas Jane,Killshot
Thomas Jane,The Vanished
True Lies,Jamie Lee Curtis
True Lies,Bill Paxton
Open Season,Ashton Kutcher
Open Season,Martin Lawrence
Open Season,Debra Messing
Josh Hutcherson,The Hunger Games: Catching Fire
Josh Hutcherson,The Hunger Games
Josh Hutcherson,The Hunger Games: Mockingjay - Part 1
Josh Hutcherson,The Hunger Games: Mockingjay - Part 2
Josh Hutcherson,Zathura: A Space Adventure
Josh Hutcherson,Journey to the Center of the Earth
News of the World,Tom Hanks
News of the World,Tom Astor
News of the World,Travis Johnson
Don Brodie,Pinocchio
Untamed Heart,Christian Slater
Untamed Heart,Marisa Tomei
Untamed Heart,Kyle Secor
Jonathan Tucker,In the Valley of Elah
Jonathan Tucker,Veronika Decides to Die
Ken Sansom,The Tigger Movie
Mia Farrow,Radio Days
Mia Farrow,The Last Unicorn
Mia Farrow,September
Emile Hirsch,Once Upon a Time in Hollywood
Emile Hirsch,Milk
Emile Hirsch,The Emperor's Club
Burgess Meredith,Santa Claus: The Movie
Lucas Black,Legion
Kate Bosworth,Still Alice
Kate Bosworth,Beyond the Sea
Kate Bosworth,Heist
Martin Freeman,The Hitchhiker's Guide to the Galaxy
Mary Steenburgen,Parenthood
Mary Steenburgen,The Proposal
Mary Steenburgen,In the Electric Mist
Beetlejuice,Alec Baldwin
Beetlejuice,Geena Davis
Beetlejuice,Michael Keaton
Jeffrey Jones,The Devil's Advocate
Glenne Headly,Mr. Holland's Opus
Queen,Kangana Ranaut
Queen,Lisa Haydon
Queen,Jeffrey Ho
Teyonah Parris,They Cloned Tyrone
Zita Johann,The Mummy
Gil Bellows,House at the End of the Street
Mila Kunis,The Book of Eli
Thomas Horn,Extremely Loud & Incredibly Close
Iron Man 2,Robert Downey Jr.
Iron Man 2,Gwyneth Paltrow
Iron Man 2,Don Cheadle
Cookie's Fortune,Glenn Close
Cookie's Fortune,Julianne Moore
Cookie's Fortune,Chris O'Donnell
Jackie Chan,The Karate Kid
Erik the Viking,Tim Robbins
Erik the Viking,John Cleese
Erik the Viking,Mickey Rooney
Erik the Viking,Eartha Kitt
Mamie Gummer,Ricki and the Flash
Jake Lacy,Christmas Inheritance
Federico Ielapi,Pinocchio
Donald Pleasence,Dracula
Kriti Sanon,Seeking True Love
Centurion,Michael Fassbender
Centurion,Dominic West
Centurion,Olga Kurylenko
Centurion,Andreas Wisniewski
Peter Friedman,Single White Female
Peter Friedman,The Seventh Sign
Southland Tales,Dwayne Johnson
Southland Tales,Sarah Michelle Gellar
Southland Tales,Seann William Scott
Southland Tales,Carlos Amezcua
2010: The Year We Make Contact,John Lithgow
2010: The Year We Make Contact,Helen Mirren
2010: The Year We Make Contact,Bob Balaban
Sarah-Sofie Boussnina,The Colony
Ric Roman Waugh,Kuffs
Just Go with It,Adam Sandler
Just Go with It,Jennifer Aniston
Just Go with It,Brooklyn Decker
Just Go with It,Nicole Kidman
Don Johnson,Harley Davidson and the Marlboro Man
Julia Ormond,The Curious Case of Benjamin Button
Julia Ormond,Legends of the Fall
Cam Gigandet,Never Back Down
Cam Gigandet,Trespass
Hope and Glory,Sarah Miles
Hope and Glory,David Hayman
Hope and Glory,Sebastian Rice-Edwards
Hope and Glory,Geraldine Muir
Justin Henry,Kramer vs. Kramer
Kate Mara,Man Down
Leap Year,Amy Adams
Leap Year,Matthew Goode
Leap Year,Adam Scott
Leap Year,John Lithgow
Lisa Boyle,Bad Boys
Ajay Naidu,Office Space
Asher Miles Fallica,Tully
Miranda Richardson,The Phantom of the Opera
Underworld,Scott Speedman
Underworld,Michael Sheen
Adrian Zmed,Bachelor Party
Adam Driver,While We're Young
Melanie Griffith,Lolita
Melanie Griffith,Working Girl
Melanie Griffith,The Bonfire of the Vanities
Kristen Wiig,Whip It
Kristen Wiig,The Skeleton Twins
Kristen Wiig,Girl Most Likely
Gemma Jones,Bridget Jones's Diary
Gemma Jones,You Will Meet a Tall Dark Stranger
Gemma Jones,Bridget Jones: The Edge of Reason
Simply Irresistible,Sarah Michelle Gellar
Simply Irresistible,Sean Patrick Flanery
Simply Irresistible,Patricia Clarkson
Simply Irresistible,Dylan Baker
Raoul Bova,Under the Tuscan Sun
Saving Mr. Banks,Emma Thompson
Saving Mr. Banks,Tom Hanks
Saving Mr. Banks,Annie Rose Buckley
Saving Mr. Banks,Colin Farrell
Blast from the Past,Brendan Fraser
Blast from the Past,Alicia Silverstone
Blast from the Past,Christopher Walken
Blast from the Past,Sissy Spacek
It Could Happen to You,Nicolas Cage
It Could Happen to You,Bridget Fonda
It Could Happen to You,Wendell Pierce
Simon Pegg,Mission: Impossible - Dead Reckoning Part One
Simon Pegg,Mission: Impossible - Fallout
Simon Pegg,Mission: Impossible - Rogue Nation
Simon Pegg,Mission: Impossible - Ghost Protocol
Teri Polo,Meet the Fockers
Teri Polo,Little Fockers
Kelsey Grammer,Toy Story 2
Kelsey Grammer,Storks
Kelsey Grammer,15 Minutes
Minnie Driver,Hard Rain
Rogue One: A Star Wars Story,Diego Luna
Rogue One: A Star Wars Story,Alan Tudyk
Rogue One: A Star Wars Story,Donnie Yen
John Krasinski,It's Complicated
Tom Pelphrey,Mank
Better Living Through Chemistry,Sam Rockwell
Better Living Through Chemistry,Olivia Wilde
Better Living Through Chemistry,Michelle Monaghan
Better Living Through Chemistry,Jane Fonda
Charles Durning,The Hudsucker Proxy
Drugstore Cowboy,Matt Dillon
Drugstore Cowboy,Kelly Lynch
Drugstore Cowboy,James Le Gros
Drugstore Cowboy,Heather Graham
Sarah Paulson,The Post
Red State,Michael Parks
Red State,John Goodman
Red State,Michael Angarano
Something to Talk About,Julia Roberts
Something to Talk About,Dennis Quaid
Something to Talk About,Robert Duvall
Something to Talk About,Gena Rowlands
Dan Fogler,Love Happens
Raising Arizona,Nicolas Cage
Raising Arizona,Holly Hunter
Raising Arizona,Trey Wilson
Raising Arizona,John Goodman
Stephen Root,Unthinkable
Jim Carter,Downton Abbey: A New Era
Emmanuelle Seigner,The Ninth Gate
The Circle,Emma Watson
The Circle,Tom Hanks
The Circle,John Boyega
The Circle,Ellar Coltrane
Matthew Lillard,Thir13en Ghosts
Matthew Lillard,Scooby-Doo
Matthew Lillard,Scooby-Doo 2: Monsters Unleashed
Matthew Lillard,Summer Catch
Joseph Melito,12 Monkeys
AJ Meijer,The Laundromat
Charles Laughton,The Hunchback of Notre Dame
Julianne Moore,The Big Lebowski
Julianne Moore,Magnolia
Julianne Moore,Short Cuts
Julianne Moore,A Single Man
Julianne Moore,Still Alice
Julianne Moore,Far from Heaven
Julianne Moore,Hannibal
Julianne Moore,Freeheld
Julianne Moore,Being Flynn
Julianne Moore,Chloe
Julianne Moore,Laws of Attraction
Julianne Moore,Seventh Son
Steve Buscemi,The Big Lebowski
Steve Buscemi,"Monsters, Inc."
Steve Buscemi,Monsters University
Steve Buscemi,The Island
Steve Buscemi,Final Fantasy: The Spirits Within
Steve Buscemi,The Boss Baby
Steve Buscemi,Charlotte's Web
Steve Buscemi,Airheads
Men of Honor,Robert De Niro
Men of Honor,Aunjanue Ellis-Taylor
Priyanka Chopra Jonas,The White Tiger
Ariana Greenblatt,The Boss Baby: Family Business
Dominique Sanda,1900
Hilton McRae,The French Lieutenant's Woman
Stephen Dorff,Cold Creek Manor
Jonah Bobo,Zathura: A Space Adventure
Faye Dunaway,Chinatown
Faye Dunaway,The Handmaid's Tale
Helen Behan,Wolf
Katie Schlossberg,Multiplicity
Half Light,Demi Moore
Half Light,Henry Ian Cusick
Half Light,Nicholas Gleaves
Half Light,James Cosmo
Gods and Monsters,Ian McKellen
Gods and Monsters,Brendan Fraser
Gods and Monsters,Lynn Redgrave
Gods and Monsters,Lolita Davidovich
Mary Elizabeth Mastrantonio,Robin Hood: Prince of Thieves
Emily Browning,Legend
Emily Browning,Pompeii
Gackt,Bunraku
Gerard Butler,The Phantom of the Opera
Gerard Butler,Hunter Killer
Gerard Butler,The Vanishing
Gerard Butler,Playing for Keeps
Gerard Butler,The Bounty Hunter
Causeway,Jennifer Lawrence
Causeway,Brian Tyree Henry
Causeway,Linda Emond
Causeway,Danny Wolohan
Magnolia,Tom Cruise
Magnolia,Jason Robards
Magnolia,Philip Seymour Hoffman
Josh Lucas,Daydream Nation
Josh Lucas,Peacock
Josh Lucas,Poseidon
Marcia Gay Harden,Magic in the Moonlight
Marcia Gay Harden,Desperate Measures
Pawn Shop Chronicles,Norman Reedus
Pawn Shop Chronicles,Elijah Wood
Pawn Shop Chronicles,Brendan Fraser
Eddie Albert,Dreamscape
Richard E. Grant,Penelope
Richard E. Grant,The Iron Lady
Richard E. Grant,Henry & June
Richard E. Grant,Warlock
Richard Bradford,The Legend of Billie Jean
Adam Sandler,Reign Over Me
Adam Sandler,Anger Management
Adam Sandler,Airheads
Adam Sandler,Murder Mystery
Adam Sandler,Murder Mystery 2
Pauly Shore,Encino Man
Pauly Shore,In the Army Now
Johanna ter Steege,The Vanishing
Johanna ter Steege,Immortal Beloved
Four Brothers,Tyrese Gibson
Four Brothers,André 3000
Four Brothers,Garrett Hedlund
Neil Crone,Christmas Inheritance
The Change-Up,Jason Bateman
The Change-Up,Ryan Reynolds
The Change-Up,Olivia Wilde
The Change-Up,Leslie Mann
Francesca Annis,Macbeth
Cobie Smulders,Safe Haven
Cobie Smulders,Jack Reacher: Never Go Back
The House That Jack Built,Matt Dillon
The House That Jack Built,Bruno Ganz
The House That Jack Built,Uma Thurman
The House That Jack Built,Siobhan Fallon Hogan
J.J. Soria,Hamlet 2
Mary Kay Bergman,The Hunchback of Notre Dame
Kevin Zegers,The Colony
Frances McDormand,"Three Billboards Outside Ebbing, Missouri"
Frances McDormand,Nomadland
Frances McDormand,Burn After Reading
Frances McDormand,This Must Be the Place
Frances McDormand,Friends with Money
Frances McDormand,Æon Flux
Beatriz at Dinner,Salma Hayek
Beatriz at Dinner,John Lithgow
Beatriz at Dinner,Jay Duplass
Sheila Kelley,Singles
Peter Dinklage,I Care a Lot
Kali Rocha,The Object of My Affection
Anton Yelchin,Like Crazy
Danny Sapani,Trance
Aldo Ray,We're No Angels
Bob Odenkirk,The Post
Rob Malone,Rogue Agent
Jennifer Lopez,Jack
Edward Norton,Fight Club
Edward Norton,The People vs. Larry Flynt
Edward Norton,The Italian Job
Edward Norton,The Score
Edward Norton,Motherless Brooklyn
Edward Norton,Everyone Says I Love You
Edward Norton,The Incredible Hulk
Edward Norton,Stone
Frankie Muniz,My Dog Skip
Frankie Muniz,Big Fat Liar
Frankie Muniz,Racing Stripes
Frankie Muniz,Agent Cody Banks
Frankie Muniz,Stay Alive
Mackenzie Foy,The Little Prince
Shawn Ashmore,Mother's Day
Jack Frost,Michael Keaton
Jack Frost,Kelly Preston
Jack Frost,Joseph Cross
Jack Frost,Mark Addy
Terrence Howard,Iron Man
Terrence Howard,The Ledge
Helen Mirren,The Long Good Friday
Helen Mirren,Trumbo
Helen Mirren,Woman in Gold
Helen Mirren,The Queen
Helen Mirren,Monsters University
Helen Mirren,RED
Taxi Driver,Robert De Niro
Taxi Driver,Cybill Shepherd
Taxi Driver,Albert Brooks
Billy Bob Thornton,A Simple Plan
Billy Bob Thornton,One False Move
Billy Bob Thornton,Armageddon
Billy Bob Thornton,The Alamo
Billy Bob Thornton,The Informers
Matt Helm,Greyhound
Margo Martindale,Secretariat
Margo Martindale,Management
Don Harvey,Casualties of War
Safe Haven,Julianne Hough
Safe Haven,Josh Duhamel
Safe Haven,David Lyons
Irrfan Khan,Inferno
Gregg Edelman,Green Card
You Kill Me,Ben Kingsley
You Kill Me,Téa Leoni
You Kill Me,Luke Wilson
You Kill Me,Dennis Farina
Cats & Dogs,Alec Baldwin
Cats & Dogs,Tobey Maguire
Cats & Dogs,Jeff Goldblum
Cats & Dogs,Elizabeth Perkins
The Yards,Joaquin Phoenix
The Yards,James Caan
Kin,Myles Truitt
Kin,Jack Reynor
Kin,Dennis Quaid
Kin,Zoë Kravitz
Hume Cronyn,The Postman Always Rings Twice
Henry & June,Fred Ward
Henry & June,Uma Thurman
Mélanie Laurent,Inglourious Basterds
Mélanie Laurent,6 Underground
Mélanie Laurent,Murder Mystery 2
Mélanie Laurent,By the Sea
It Chapter Two,Jessica Chastain
It Chapter Two,James McAvoy
It Chapter Two,Bill Hader
It Chapter Two,Isaiah Mustafa
Colin Hanks,W.
Colin Hanks,Untraceable
Cathy Tyson,Mona Lisa
The Perfect Storm,George Clooney
The Perfect Storm,John C. Reilly
The Perfect Storm,Diane Lane
Sigge Fürst,Shame
Martin Shaw,Macbeth
Michael Pitt,Rob the Mob
Freddy Rodríguez,Planet Terror
Wanted,Angelina Jolie
Wanted,James McAvoy
Wanted,Morgan Freeman
Wanted,Terence Stamp
Wanted,Salman Khan
Wanted,Ayesha Takia
Wanted,Vinod Khanna
Lolita Davidovich,Raising Cain
Angela Lansbury,The Last Unicorn
Tombstone,Kurt Russell
Tombstone,Val Kilmer
Tombstone,Sam Elliott
Tombstone,Bill Paxton
Bridget Fonda,Jackie Brown
Bridget Fonda,A Simple Plan
Bridget Fonda,Singles
Bridget Fonda,Kiss of the Dragon
Bridget Fonda,Single White Female
Bridget Fonda,City Hall
Bridget Fonda,Point of No Return
Bridget Fonda,Little Buddha
Bridget Fonda,Lake Placid
Bérénice Bejo,The Artist
Henry Dinhofer,Music of the Heart
Steve McQueen,The Getaway
Delphine French,The Cure
Gwyneth Paltrow,Iron Man
Gwyneth Paltrow,Thanks for Sharing
Gwyneth Paltrow,Country Strong
Gwyneth Paltrow,View from the Top
Charlie Tahan,Love Is Strange
Cliff Robertson,Obsession
Jason Biggs,My Best Friend's Girl
Cape Fear,Gregory Peck
Cape Fear,Robert Mitchum
Cape Fear,Polly Bergen
Cape Fear,Lori Martin
Cape Fear,Robert De Niro
Cape Fear,Nick Nolte
Cape Fear,Jessica Lange
Cape Fear,Juliette Lewis
Wenwen Han,The Karate Kid
Greyhound,Tom Hanks
Greyhound,Elisabeth Shue
Greyhound,Stephen Graham
Scream,Neve Campbell
Scream,Courteney Cox
Scream,David Arquette
Scream,Melissa Barrera
Billy Burke,Untraceable
Billy Burke,Freaky Deaky
Billy Burke,Mafia!
Billy Burke,Red Riding Hood
Jonathan Pryce,Brazil
Volunteers,Tom Hanks
Volunteers,John Candy
Volunteers,Rita Wilson
Volunteers,Tim Thomerson
Backdraft,Kurt Russell
Backdraft,William Baldwin
Backdraft,Robert De Niro
Backdraft,Donald Sutherland
Ken Takakura,Black Rain
One True Thing,Meryl Streep
One True Thing,Renée Zellweger
One True Thing,William Hurt
One True Thing,Tom Everett Scott
George Dzundza,The Beast of War
Rebecca Da Costa,The Bag Man
Big Fat Liar,Amanda Bynes
Big Fat Liar,Paul Giamatti
Big Fat Liar,Amanda Detmer
Dougray Scott,Mission: Impossible II
Bryan Hearne,Hardball
Tim Blake Nelson,"O Brother, Where Art Thou?"
Oakes Fegley,The War with Grandpa
Ray Wise,Bob Roberts
Joseph Gordon-Levitt,Inception
Joseph Gordon-Levitt,Mysterious Skin
Joseph Gordon-Levitt,Lincoln
Joseph Gordon-Levitt,Sin City: A Dame to Kill For
Joseph Gordon-Levitt,The Juror
Joseph Gordon-Levitt,Pinocchio
Æon Flux,Sophie Okonedo
Æon Flux,Marton Csokas
Jonah Blechman,This Boy's Life
The King of Comedy,Robert De Niro
The King of Comedy,Jerry Lewis
The King of Comedy,Diahnne Abbott
The King of Comedy,Sandra Bernhard
Natalia Dyer,Things Heard & Seen
Jon Hamm,Bad Times at the El Royale
Robert Downey Jr.,Iron Man
Robert Downey Jr.,Heart and Souls
Robert Downey Jr.,A Guide to Recognizing Your Saints
Robert Downey Jr.,The Gingerbread Man
Robert Downey Jr.,Dolittle
Freeheld,Elliot Page
Freeheld,Michael Shannon
Kurt Russell,Interstate 60: Episodes of the Road
Kurt Russell,Silkwood
Kurt Russell,Vanilla Sky
Kurt Russell,Sky High
Kurt Russell,3000 Miles to Graceland
Kurt Russell,Poseidon
Catherine Zeta-Jones,The Terminal
Catherine Zeta-Jones,Sinbad: Legend of the Seven Seas
Catherine Zeta-Jones,Ocean's Twelve
Catherine Zeta-Jones,America's Sweethearts
Tawny Kitaen,Bachelor Party
Nikki SooHoo,Stick It
Little Man Tate,Dianne Wiest
Little Man Tate,Adam Hann-Byrd
Little Man Tate,Alex Lee
Jenna Stern,16 Blocks
The United States vs. Billie Holiday,Andra Day
The United States vs. Billie Holiday,Trevante Rhodes
The United States vs. Billie Holiday,Garrett Hedlund
The United States vs. Billie Holiday,Natasha Lyonne
The Ledge,Charlie Hunnam
The Ledge,Patrick Wilson
Tom Skerritt,A River Runs Through It
Chad Allen,Battle for Terra
Daniel Benzali,Murder at 1600
Richard Marcus,Enemy Mine
James Marsden,Interstate 60: Episodes of the Road
James Marsden,The Boss Baby: Family Business
James Marsden,The Box
Li Sun,Fearless
The Three Musketeers,Oliver Reed
The Three Musketeers,Raquel Welch
The Three Musketeers,Michael York
The Three Musketeers,Charlie Sheen
The Three Musketeers,Kiefer Sutherland
The Three Musketeers,Chris O'Donnell
The Three Musketeers,Oliver Platt
The Three Musketeers,Logan Lerman
The Three Musketeers,Matthew Macfadyen
The Three Musketeers,Milla Jovovich
The Wolf of Snow Hollow,Jim Cummings
The Wolf of Snow Hollow,Riki Lindhome
The Wolf of Snow Hollow,Robert Forster
The Wolf of Snow Hollow,Chloe East
Kim Darby,True Grit
Jeannetta Arnette,Snow Angels
Short Circuit,Ally Sheedy
Short Circuit,Steve Guttenberg
Short Circuit,Fisher Stevens
Short Circuit,Austin Pendleton
Lili Taylor,Factotum
Raul Julia,The Addams Family
Raul Julia,The Rookie
John Lone,Year of the Dragon
John Lone,The Shadow
Then She Found Me,Helen Hunt
Then She Found Me,Colin Firth
Then She Found Me,Bette Midler
